Q No,Question,Chapter,Sub-Concept,Error Type,Answer
Q1,Which of the following is a non-membranous organelle?,Cell Biology,Ribosomes,Memory,B
Q2,What is the primary site of synthesis of ribosomal RNA?,Cell Biology,Nucleolus,Conceptual,A
Q3,During which phase of meiosis does crossing over occur?,Cell Biology,Pachytene,Memory,C
Q4,Anaphase promoting complex (APC) is necessary for chromosome segregation. If APC is defective in a human cell which phase of cell division will be affected?,Cell Biology,Anaphase,Application,A
Q5,The final electron acceptor in lactic acid fermentation is,Respiration in Plants,Lactic Acid fermentation,Conceptual,B
Q6,How many ATP molecules are produced during aerobic respiration of one glucose molecule?,Respiration in Plants,Aerobic Respiration,Application,C
Q7,The respiratory quotient (RQ) of tripalmitin is,Respiration in Plants,Respiratory Quotient,Memory,D
Q8,Which enzyme catalyzes the conversion of glucose-6-phosphate to fructose-6-phosphate?,Respiration in Plants,Glycolysis,Conceptual,A
Q9,In semi-conservative replication of DNA, if a double stranded DNA has 20% Adenine, what is the percentage of Cytosine?,Molecular Basis of Inheritance,DNA Structure,Application,D
Q10,The codon for Methionine is,Molecular Basis of Inheritance,Genetic Code,Memory,B
Q11,Which of the following is not a stop codon?,Molecular Basis of Inheritance,Genetic Code,Memory,A
Q12,The enzyme DNA-dependent RNA polymerase catalyzes transcription on one strand of the DNA which is called the,Molecular Basis of Inheritance,Transcription,Conceptual,B
Q13,In a DNA molecule, the phosphate group is attached to carbon ___ of the deoxyribose sugar of its own nucleotide.,Molecular Basis of Inheritance,DNA Structure,Memory,C
Q14,The process of translation begins when,Molecular Basis of Inheritance,Translation,Conceptual,A
Q15,Which phase of translation does not require ATP/GTP hydrolysis?,Molecular Basis of Inheritance,Translation,Conceptual,D
Q16,If a geneticist uses PCR to amplify a DNA fragment, which of the following is required?,Biotechnology,PCR,Application,C
Q17,The DNA polymerase enzyme used in PCR is isolated from,Biotechnology,PCR,Memory,B
Q18,Restriction endonucleases are enzymes that,Biotechnology,Restriction Enzymes,Conceptual,A
Q19,Which of the following vectors is commonly used for cloning genes in plants?,Biotechnology,Vectors,Memory,D
Q20,In gel electrophoresis, DNA fragments move towards the anode because DNA is,Biotechnology,Gel Electrophoresis,Conceptual,A
